Identifier,Title#1,Creator#1,Creator#2,Subject#1,Date#1,Rights#1,ln_RECORDID,ln_MEDIAID,lnexp_MEDIAFILENAME
newmanessay01.pdf,Agricultural Planning and Social Change in Ukambani During the Late Colonial Period,,,,1975,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432633,125798,newmanmisc01.pdf
newmanessay03.pdf,"Assorted notes on J. Forbes Munro, ""Colonial Rule and the Kamba: Social Change in the Kenya Highlands, 1889-1939"" and Martin Hill, ""The Harambee Movement in Kenya: Self-Help, Development, and Education Among the Kamba of Kitui District""",,,,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432642,125799,newmanmisc03.pdf
newmanessay003.pdf,"Authority, Incongruity, & Organizational Patterns: some problems & themes in the study of the Kamba of Machakos and Kitui","Newman, Jeremy",,,12/15/1972,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432619,125775,newmanessay03.pdf
newman018.pdf,Canon Mute. Anglican Church Ukia. 1.3.74,"Newman, Jeremy","Mute, Canon",,3/1/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432535,125783,newman018.pdf
newman021.pdf,"Cosmas Musau. 13.6.74. Kikoko, Kilungu Location.","Newman, Jeremy","Musau, Cosmas",,6/13/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432553,125786,newman021.pdf
newman010.pdf,Elijah Mbondu. Tala Market. 26.11.73.,"Newman, Jeremy","Mbondu, Elijah.",,11/26/1973,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432487,125771,newman010.pdf
newman026.pdf,Elijah Mutaki. Mbooni Location. Kiliku Section. 1.11.74,"Newman, Jeremy","Mutaki, Elijah",,11/1/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432583,125791,newman026.pdf
newman017.pdf,Ex Senior Chief David Kaindi. Mbooni Location. 13.2.74,"Newman, Jeremy","Kaindi, David",,2/13/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432529,125782,newman017.pdf
newman029.pdf,Ex-Chief John Mutua. Kiteta Location. 3.11.74,"Newman, Jeremy","Mutua, John",,11/3/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432601,125794,newman029.pdf
newman014.pdf,Ex-Chief Kimuyu Mandi. Mukaa. 8.1.74,"Newman, Jeremy","Mandi, Kimuyu",,1/8/1974,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s). http://rightsstatements.org/vocab/InC-EDU/1.0/",432511,125779,newman014.pdf
